name,length,number of words
The Godfather,12,2
Goodfellas,10,1
Pulp Fiction,11,2
The Usual Suspects,16,3
Apocalypse Now,13,2
Trainspotting,13,1
Fight Club,9,2
Schindler's List,15,2
Boogie Nights,12,2
Reservoir Dogs,13,2
The Shawshank Redemption,22,3
Jaws,4,1
Taxi Driver,10,2
L.A. Confidential,16,2
Back to the Future,15,4
The Godfather: Part II,19,4
Fargo,5,1
The Dark Knight,13,3
Magnolia,8,1
Scarface,8,1
The Royal Tenenbaums,18,3
Donnie Darko,11,2
Platoon,7,1
Heat,4,1
American Beauty,14,2
The Big Lebowski,14,3
Raging Bull,10,2
The Departed,11,2
There's Something About Mary,25,4
Léon,4,1
Cidade de Deus,12,3
Once Upon a Time in America,22,6
"Lock, Stock and Two Smoking Barrels",30,6
The Truman Show,13,3
Toy Story,8,2
Alien,5,1
Rushmore,8,1
The Matrix,9,2
Se7en,5,1
Good Will Hunting,15,3
Aliens,6,1
The Exorcist,11,2
One Flew Over the Cuckoo's Nest,26,6
Chinatown,9,1
Casino,6,1
True Romance,11,2
Sin City,7,2
Gladiator,9,1
Raiders of the Lost Ark,19,5
Miller's Crossing,16,2
Being John Malkovich,18,3
Die Hard,7,2
Casablanca,10,1
Kick-Ass,8,1
The Prestige,11,2
Inglourious Basterds,19,2
Evil Dead II,10,3
Jurassic Park,12,2
Batman Begins,12,2
The Green Mile,12,3
The French Connection,19,3
Unforgiven,10,1
Drive,5,1
The Shining,10,2
The Evil Dead,11,3
Forrest Gump,11,2
The Thing,8,2
Citizen Kane,11,2
Blue Velvet,10,2
The Wicker Man,12,3
Eternal Sunshine of the Spotless Mind,32,6
The Princess Bride,16,3
A Clockwork Orange,16,3
Go,2,1
Stand by Me,9,3
The Lord of the Rings: The Return of the King,36,10
Terminator 2: Judgment Day,23,4
Toy Story 2,9,3
Saving Private Ryan,17,3
Desperado,9,1
Indiana Jones and the Last Crusade,29,6
Saw,3,1
My Left Foot: The Story of Christy Brown,33,8
Bowling for Columbine,19,3
Man on Fire,9,3
Almost Famous,12,2
High Fidelity,12,2
Django Unchained,15,2
12 Angry Men,10,3
Memento,7,1
Rain Man,7,2
Minority Report,14,2
The Lord of the Rings: The Two Towers,30,8
Goldfinger,10,1
The Social Network,16,3
American Psycho,14,2
Men in Black,10,3
No Country for Old Men,18,5
Airplane!,9,1
There Will Be Blood,16,4
Inception,9,1
JFK,3,1
King Kong,8,2
The Terminator,13,2
The Lord of the Rings: The Fellowship of the Ring,40,10
Kill Bill: Vol. 1,14,4
The Silence of the Lambs,20,5
The Color of Money,15,4
This Is England,13,3
It's a Wonderful Life,18,4
Children of Men,13,3
In the Name of the Father,20,6
American History X,16,3
Twelve Monkeys,13,2
Dog Day Afternoon,15,3
The Untouchables,15,2
Close Encounters of the Third Kind,29,6
"Il buono, il brutto, il cattivo",26,6
Glengarry Glen Ross,17,3
The Wolf of Wall Street,19,5
Road to Perdition,15,3
Up,2,1
Natural Born Killers,18,3
Out of Sight,10,3
The Bourne Identity,17,3
An American Werewolf in London,26,5
United 93,8,2
Full Metal Jacket,15,3
The General,10,2
The Deer Hunter,13,3
Interview with the Vampire: The Vampire Chronicles,44,7
Things to Do in Denver When You're Dead,32,8
Little Miss Sunshine,18,3
Carlito's Way,12,2
Casino Royale,12,2
Dirty Harry,10,2
Gremlins,8,1
Butch Cassidy and the Sundance Kid,29,6
Ocean's Eleven,13,2
Amores perros,12,2
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,72,12
Austin Powers: The Spy Who Shagged Me,31,7
Batman Returns,13,2
The Virgin Suicides,17,3
28 Days Later...,14,3
The Life Aquatic with Steve Zissou,29,6
Requiem for a Dream,16,4
The Italian Job,13,3
Get Carter,9,2
The Rules of Attraction,20,4
Zodiac,6,1
Hot Fuzz,7,2
"O Brother, Where Art Thou?",22,5
Braindead,9,1
Dumb and Dumber,13,3
The Jungle Book,13,3
The Bourne Ultimatum,18,3
Shallow Grave,12,2
From Dusk Till Dawn,16,4
Gone with the Wind,15,4
American Pie,11,2
Slumdog Millionaire,18,2
On the Waterfront,15,3
Snatch,6,1
The Naked Gun: From the Files of Police Squad!,38,9
National Lampoon's Animal House,28,4
Three Kings,10,2
In Bruges,8,2
Toy Story 3,9,3
Cloverfield,11,1
Dawn of the Dead,13,4
Quiz Show,8,2
Dalkomhan insaeng,16,2
The Sixth Sense,13,3
The Long Good Friday,17,4
Juno,4,1
Planet of the Apes,15,4
Kiss Kiss Bang Bang,16,4
Jackie Brown,11,2
Sideways,8,1
Edward Scissorhands,18,2
The Thin Red Line,14,4
Hotel Rwanda,11,2
Sexy Beast,9,2
Swingers,8,1
Amélie,6,1
Män som hatar kvinnor,18,4
Nuovo Cinema Paradiso,19,3
Witness for the Prosecution,24,4
The Apartment,12,2
Meet the Parents,14,3
The Right Stuff,13,3
Catch Me If You Can,15,5
Saturday Night Fever,18,3
Anchorman: The Legend of Ron Burgundy,32,6
Happiness,9,1
Knocked Up,9,2
District 9,9,2
Fahrenheit 9/11,14,2
Star Trek,8,2
Senna,5,1
Serbuan Maut,11,2
Brick,5,1
The Lives of Others,16,4
When We Were Kings,15,4
Groundhog Day,12,2
All the President's Men,20,4
A Quiet Place,11,3
Unbreakable,11,1
Pan's Labyrinth,14,2
Hugo,4,1
Sunshine,8,1
The King of Kong,13,4
The People vs. Larry Flynt,22,5
Superbad,8,1
Serenity,8,1
Night of the Living Dead,20,5
Austin Powers: International Man of Mystery,38,6
28 Weeks Later,12,3
The Thin Blue Line,15,4
Dog Soldiers,11,2
Dead Poets Society,16,3
Get Shorty,9,2
Bad Santa,8,2
Ghostbusters,12,1
Donnie Brasco,12,2
Top Gun,6,2
(500) Days of Summer,17,4
Chopper,7,1
The Breakfast Club,16,3
Grosse Pointe Blank,17,3
John Wick: Chapter 3 - Parabellum,28,6
The Dirty Dozen,13,3
To Kill a Mockingbird,18,4
Harold and Maude,14,3
Vals Im Bashir,12,3
Shame,5,1
Kill Bill: Vol. 2,14,4
Pirates of the Caribbean: The Curse of the Black Pearl,45,10
Bottle Rocket,12,2
Star Wars: Episode V - The Empire Strikes Back,38,9
Jackass: The Movie,16,3
Point Break,10,2
The Squid and the Whale,19,5
Network,7,1
Once Upon a Time in the West,22,7
RoboCop,7,1
Bonnie and Clyde,14,3
"South Park: Bigger, Longer & Uncut",29,6
The Texas Chain Saw Massacre,24,5
Dodgeball: A True Underdog Story,28,5
La piel que habito,15,4
Ruby Sparks,10,2
Layer Cake,9,2
Rounders,8,1
Superman,8,1
Day of the Dead,12,4
Marathon Man,11,2
Midnight Cowboy,14,2
Life of Brian,11,3
Raising Arizona,14,2
Moon,4,1
Clerks,6,1
Drag Me to Hell,12,4
Brazil,6,1
The Bourne Supremacy,18,3
Trois couleurs: Rouge,19,3
A History of Violence,18,4
The Hangover,11,2
Scott Pilgrim vs. the World,23,5
The Producers,12,2
Animal Kingdom,13,2
The Hudsucker Proxy,17,3
Jerry Maguire,12,2
Speed,5,1
True Grit,8,2
Cool Hand Luke,12,3
Zombieland,10,1
American: The Bill Hicks Story,26,5
Crash,5,1
The Graduate,11,2
A Bronx Tale,10,3
Låt den rätte komma in,18,5
As Good as It Gets,14,5
Das Boot,7,2
A Serious Man,11,3
The Fly,6,2
The Wrestler,11,2
Titanic,7,1
Finding Nemo,11,2
The Fugitive,11,2
Star Wars,8,2
The Hustler,10,2
Per un pugno di dollari,19,5
Don't Look Now,12,3
Fantastic Mr. Fox,15,3
The Mist,7,2
Field of Dreams,13,3
Rise of the Planet of the Apes,24,7
Moneyball,9,1
Jackass Number Two,16,3
The Fighter,10,2
Mud,3,1
Hodejegerne,11,1
This Is the End,12,4
Gone Girl,8,2
Guardians of the Galaxy,20,4
Serbuan Maut 2: Berandal,21,4
Mad Max: Fury Road,15,4
The Descent,10,2
Patriots Day,11,2
2001: A Space Odyssey,18,4
Insomnia,8,1
Capturing the Friedmans,21,3
The Curious Case of Benjamin Button,30,6
Batman,6,1
Sleepy Hollow,12,2
The Third Man,11,3
Spider-Man 2,11,2
24 Hour Party People,17,4
The Blair Witch Project,20,4
End of Watch,10,3
WALL·E,6,1
The Imposter,11,2
Salvador,8,1
X2,2,1
Spider-Man,10,1
